t: 95290r: 8, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 7.0000000000, dd: -0.8399999738, res: -2.3056008816
t: 95300r: 11, x: 483.0000000000, p: 3.1395001411, v: 0.0000000000, d: 0.0000000000, a: 11.0000000000, dd: -1.3199999332, res: -1.8195002079
t: 95310r: 14, x: 483.0000000000, p: 3.1395001411, v: 20.0012207031, d: 0.0126007696, a: 13.0000000000, dd: -1.5599999428, res: -1.5921008587
t: 95320r: 18, x: 483.0000000000, p: 3.1395001411, v: 0.0000000000, d: 0.0000000000, a: 16.0000000000, dd: -1.9199999571, res: -1.2195001841
t: 95330r: 23, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 20.0000000000, dd: -2.3999998569, res: -0.7265002728
t: 95340r: 27, x: 483.0000000000, p: 3.1395001411, v: -20.0012207031, d: -0.0126007696, a: 25.0000000000, dd: -3.0000000000, res: -0.1268994808
t: 95350r: 31, x: 504.0000000000, p: 3.2760000229, v: 0.0000000000, d: 0.0000000000, a: 29.0000000000, dd: -3.4800000191, res: 0.2039999962
t: 95360r: 31, x: 300.0000000000, p: 1.9500000477, v: -319.9951171875, d: -0.2015969306, a: 31.0000000000, dd: -3.7200000286, res: 1.9715969563
t: 95370r: 31, x: 152.0000000000, p: 0.9880000353, v: -10200.0000000000, d: -6.4260001183, a: 31.0000000000, dd: -3.7200000286, res: 9.1579999924
t: 95380r: 29, x: 157.0000000000, p: 1.0205000639, v: -2919.9951171875, d: -1.8395969868, a: 30.0000000000, dd: -3.5999999046, res: 4.4190969467
t: 95390r: 27, x: 163.0000000000, p: 1.0594999790, v: -11439.9970703125, d: -7.2071986198, a: 28.0000000000, dd: -3.3599998951, res: 9.5076980591
t: 95400r: 24, x: 149.0000000000, p: 0.9685000181, v: -500.0000000000, d: -0.3149999976, a: 26.0000000000, dd: -3.1199998856, res: 2.4664998055
t: 95410r: 20, x: 438.0000000000, p: 2.8470001221, v: -440.0024414062, d: -0.2772015631, a: 22.0000000000, dd: -2.6399998665, res: 0.0702014080
t: 95420r: 18, x: 411.0000000000, p: 2.6714999676, v: 5340.0024414062, d: 3.3642017841, a: 18.0000000000, dd: -2.1599998474, res: -3.8757019043
t: 95430r: 17, x: 406.0000000000, p: 2.6389999390, v: 1479.9987792969, d: 0.9323992729, a: 18.0000000000, dd: -2.1599998474, res: -1.4113993645
t: 95440r: 18, x: 394.0000000000, p: 2.5610001087, v: 9380.0048828125, d: 5.9094033241, a: 17.0000000000, dd: -2.0399999619, res: -6.4304037094
t: 95450r: 18, x: 385.0000000000, p: 2.5025000572, v: -1359.9975585938, d: -0.8567984700, a: 18.0000000000, dd: -2.1599998474, res: 0.5142982006
t: 95460r: 18, x: 375.0000000000, p: 2.4375000000, v: -1320.0012207031, d: -0.8316007853, a: 18.0000000000, dd: -2.1599998474, res: 0.5541006327
